latitude; longitude;name
-33.36247021;-70.75762842;PB534
-33.36198447;-70.75478549;PB535
-33.36373624;-70.75318852;PB574
-33.36441863;-70.75251391;PB623
-33.36269643;-70.7593163;PB624
-33.36229915;-70.75710998;PB625
-33.36567468;-70.7441861;PB626
-33.36601259;-70.74207498;PB627
-33.3644207;-70.75204624;PB628
-33.36479613;-70.74972491;PB629
-33.36556392;-70.74497665;PB404
-33.36587098;-70.74307732;PB405
-33.36646798;-70.73938413;PB1721
-33.36643926;-70.73672068;PB630
-33.36745189;-70.73374791;PB631
-33.36845188;-70.73148222;PB632
-33.36942102;-70.73009812;PB633
-33.36990886;-70.722387;PB634
-33.37075901;-70.71966808;PB635
-33.37185128;-70.7162007;PB1530
-33.37303488;-70.71004361;PB468
-33.36824746;-70.69971987;PB416
-33.37216781;-70.6978405;PB417
-33.37512221;-70.69651775;PB418
-33.38284465;-70.69306252;PB419
-33.38848626;-70.69048622;PB420
-33.39408927;-70.68753969;PB1691
-33.39819829;-70.68507791;PB421
-33.40182385;-70.68290556;PB422
-33.40634999;-70.68062236;PB423
-33.40921301;-70.68019411;PB424
-33.4133286;-70.67957846;PB425
-33.41502851;-70.67932416;PB426
-33.41717578;-70.67900292;PB427
-33.42068691;-70.67662581;PB428
-33.42418762;-70.67282253;PB429
-33.43764333;-70.66036699;PA667
-33.43926552;-70.65849604;PA252
-33.43892727;-70.6551864;PA83
-33.4386435;-70.65241059;PA253
-33.43834876;-70.64952804;PA254
-33.43808671;-70.64696578;PA255
-33.43778091;-70.6439765;PA256
-33.43675198;-70.64128002;PA257
-33.43864941;-70.63618775;PA170
-33.43966176;-70.63447611;PA171
-33.43686222;-70.63530991;PC145
-33.43612106;-70.64379993;PA259
-33.43572221;-70.64710231;PA260
-33.43604308;-70.64998081;PA261
-33.43636387;-70.65285933;PA262
-33.43674398;-70.65627093;PA263
-33.43699338;-70.65850981;PA699
-33.43633689;-70.65981106;PA303
-33.43472447;-70.66003253;PA245
-33.43338079;-70.66021709;PA265
-33.4271066;-70.66632485;PB430
-33.42591927;-70.66969577;PB1525
-33.42400604;-70.67254087;PB431
-33.41995979;-70.67658781;PB432
-33.41611799;-70.67860094;PB433
-33.41388223;-70.67894469;PB434
-33.4120042;-70.67923344;PB435
-33.40654894;-70.68007211;PB436
-33.4037123;-70.68134624;PB437
-33.40104258;-70.68291306;PB1559
-33.39546039;-70.68618882;PB439
-33.39287152;-70.68770788;PB440
-33.39092986;-70.68884711;PB441
-33.38734108;-70.6901184;PB442
-33.38059346;-70.69261689;PB443
-33.37611796;-70.69461461;PB444
-33.37165353;-70.69664688;PB445
-33.36976683;-70.69844535;PB446
-33.37280232;-70.71115323;PB531
-33.37389366;-70.71521939;PB469
-33.37088495;-70.71926528;PB571
-33.3700663;-70.7218835;PB636
-33.36883822;-70.72581074;PB637
-33.36872348;-70.73119937;PB638
-33.36760695;-70.73335982;PB639
-33.36675408;-70.73549432;PB640
-33.36648503;-70.73927861;PB1720
-33.36609274;-70.74170557;PB1669
-33.36563216;-70.74455457;PB458
-33.36505208;-70.74814216;PB459
-33.36455722;-70.75120212;PB641
-33.36308267;-70.75330975;PB642
-33.36226131;-70.75689986;PB643
-33.36262076;-70.75889605;PB644
-33.36324498;-70.76236316;PB645
-33.36347195;-70.76362393;PB646
-33.36386911;-70.76583031;PB599
